"","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"1",20100016,17305,2010,"1/1/2010 7:15 AM",32109,"ONEOK NGL PIPELINE LP","KINDER MORGAN JCT","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","MCPHERSON","MCPHERSON","KS",38.6707,-97.78123,"INCORRECT OPERATION","PIPELINE/EQUIPMENT OVERPRESSURED",21,0.1,0,21,"NO","NO","NO","","",0,0,110,1517,0,0,0,0,1627
"2",20100254,17331,2010,"1/4/2010 8:30 AM",15786,"PORTLAND PIPELINE CORP","24-INCH MAIN LINE","ONSHORE","ABOVEGROUND","CRUDE OIL","","","RAYMOND","CUMBERLAND","ME",43.94028,-70.49336,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.12,0,0.12,0,"NO","NO","","","",0,0,4000,8,0,0,0,0,4008
"3",20100038,17747,2010,"1/5/2010 10:30 AM",20160,"PETROLOGISTICS OLEFINS, LLC","","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","ETHANE","SULPHER","CALCASIEU","LA",30.1824,-93.3524,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",2,0,0,2,"NO","NO","","","",0,0,0,200,0,0,0,0,200
"4",20100260,18574,2010,"1/6/2010 7:30 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","SUPERIOR TERMINAL","ONSHORE","UNDERGROUND","CRUDE OIL","","","SUPERIOR","DOUGLAS","WI",46.6893,-92.0612,"NATURAL FORCE DAMAGE","TEMPERATURE",0.48,0,0.48,0,"NO","NO","","","",0,0,200,40,0,11300,0,0,11540
"6",20100021,17161,2010,"1/8/2010 11:38 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","","ONSHORE","UNDERGROUND","CRUDE OIL","","","NECHE","PEMBINA","ND",48.99555,-97.52554,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",3784,0,1547,2237,"NO","NO","YES","1/8/2010 23:41","1/13/2010 9:17",0,0,76940,167775,150000,1800000,2e+06,0,4194715
"7",20110036,18052,2010,"1/9/2010 12:15 AM",26041,"KINDER MORGAN LIQUID TERMINALS, LLC","","ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","GALENA PARK","HARRIS","TX",29.4305,-95.1201,"MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",35,0,30,5,"NO","NO","NO","","",0,0,0,400,0,0,70000,0,70400
"8",20100255,18584,2010,"1/9/2010 1:12 AM",12624,"MOBIL CORP","HULL STATION","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","HULL","LIBERTY","TX",30.08533,-94.3805,"NATURAL FORCE DAMAGE","TEMPERATURE",0.24,0,0,0.24,"NO","NO","","","",0,0,400,13,0,0,0,0,413
"9",20100261,18050,2010,"1/10/2010 7:46 PM",26041,"KINDER MORGAN LIQUID TERMINALS, LLC","","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","","","TX",29.4305,-95.1201,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0.4,0,0.4,0,"NO","NO","","","",0,0,0,336,0,0,40000,0,40336
"10",20100024,18390,2010,"1/11/2010 2:30 PM",31684,"CONOCOPHILLIPS","TANK 1501","ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","PASADENA","HARRIS","TX",29.71478,-95.17611,"ALL OTHER CAUSES","MISCELLANEOUS",0.48,0,0.48,0,"NO","NO","NO","","",0,0,0,50,0,10000,10000,10000,30050
"11",20100150,15205,2010,"1/11/2010 2:30 PM",32296,"TARGA RESOURCES OPERATING LP","N-4 LINE (NORMAL BUTANE)","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","NORMAL BUTANE","LAKE CHARLES","CALCASIEU","LA",30.25989,-93.20991,"NATURAL FORCE DAMAGE","TEMPERATURE",2237,25,0,2237,"NO","NO","YES","1/11/2010 14:45","1/15/2010 15:00",0,0,29360,136233,0,0,362809.440258342,0,165593
