"","X","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"4",4,20100260,18574,2010,"1/6/2010 7:30 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","SUPERIOR TERMINAL","ONSHORE","UNDERGROUND","CRUDE OIL","","","SUPERIOR","DOUGLAS","WI",46.6893,-92.0612,"NATURAL FORCE DAMAGE","TEMPERATURE",0.48,0,0.48,0,"NO","NO","","","",0,0,200,40,0,11300,0,0,11540
"5",6,20100021,17161,2010,"1/8/2010 11:38 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","","ONSHORE","UNDERGROUND","CRUDE OIL","","","NECHE","PEMBINA","ND",48.99555,-97.52554,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",3784,0,1547,2237,"NO","NO","YES","1/8/2010 23:41","1/13/2010 9:17",0,0,76940,167775,150000,1800000,2e+06,0,4194715
"10",11,20100150,15205,2010,"1/11/2010 2:30 PM",32296,"TARGA RESOURCES OPERATING LP","N-4 LINE (NORMAL BUTANE)","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","NORMAL BUTANE","LAKE CHARLES","CALCASIEU","LA",30.25989,-93.20991,"NATURAL FORCE DAMAGE","TEMPERATURE",2237,25,0,2237,"NO","NO","YES","1/11/2010 14:45","1/15/2010 15:00",0,0,29360,136233,0,0,362809.440258342,0,165593
"11",12,20100262,15399,2010,"1/11/2010 2:47 PM",31454,"NUSTAR LOGISTICS, L.P.","46P HOUSTON 12"" REFINDED PRODUCTS PL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","TAFT","SAN PATRICO","TX",28.05529,-97.32797,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3,0,3,0,"NO","NO","YES","1/11/2010 14:55","1/11/2010 22:08",0,0,30000,415,10000,7971,308883,0,357269
"15",17,20100037,18592,2010,"1/12/2010 7:08 PM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","MAGELLAN AMMONIA PIPELINE, LP","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","PAWNEE","PAWNEE","OK",36.39836,-96.74622,"MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",445,5,0,445,"NO","NO","YES","1/12/2010 19:08","1/20/2010 14:34",19,0,175000,34000,68000,324000,1901615,15000,2517615
"21",26,20100087,18354,2010,"1/19/2010 8:00 PM",4805,"EXPLORER PIPELINE CO","WOOD RIVER TANK FARM","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","HARTFORD","MADISON","IL",38.82204,-90.07892,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",3,0,2,1,"NO","NO","YES","1/19/2010 20:01","1/20/2010 9:30",0,0,41000,85,0,5100,0,0,46185
"31",38,20100233,18026,2010,"2/8/2010 12:20 PM",31174,"SHELL PIPELINE CO., L.P.","ERATH - EAST HOUSTON CRUDE","ONSHORE","UNDERGROUND","CRUDE OIL","","","LAKE ARTHUR","JEFFERSON DAVIS","LA",30.0795,-92.7465,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",5,0,0,5,"NO","NO","YES","2/8/2010 12:21","2/10/2010 10:23",0,0,230000,400,30000,120000,0,0,380400
"32",39,20100256,17808,2010,"2/9/2010 10:00 AM",15674,"PLANTATION PIPE LINE CO","BATON ROUGE TANK FARM","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","BATON ROUGE","EAST BATON ROUGE","LA",30.54741,-90.16677,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.64,0,0.64,0,"NO","NO","","","",0,0,500,0,0,450,0,0,950
"35",44,20100009,17618,2010,"2/20/2010 6:30 AM",18718,"SUNOCO PIPELINE L.P.","THOMAS STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONGVIEW","GREGG","TX",32.4785,-94.8679,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",8,0,6,2,"NO","NO","YES","2/20/2010 6:35","2/20/2010 23:30",0,0,3449,152,0,5634,84278,0,93513
"36",45,20100005,17663,2010,"2/21/2010 12:45 PM",300,"PLAINS PIPELINE, L.P.","D-BOOSTER 10-INCH","ONSHORE","UNDERGROUND","CRUDE OIL","","","MCCAMEY","UPTON","TX",31.13284,-101.18974,"CORROSION","INTERNAL",9,0,9,0,"NO","NO","NO","","",0,0,700,585,0,600,11000,4600,17485
"37",46,20100003,18021,2010,"2/22/2010 10:38 AM",32035,"LDH ENERGY PIPELINE L.P.","W. TX. NGL","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","BIG SPRING","HOWARD","TX",32.22471,-101.4044,"CORROSION","EXTERNAL",1,116,0,1,"NO","NO","NO","","",0,0,0,2360,0,0,0,24500,26860
"39",49,20100008,19253,2010,"2/25/2010 4:50 AM",32109,"ONEOK NGL PIPELINE LP","10"" PIPELINE FROM HWY 64 JCT. TO MEDFORD PLANT","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","RAW FEED","POND CREEK","GRANT","OK",36.6659,-97.8846,"INCORRECT OPERATION","PIPELINE/EQUIPMENT OVERPRESSURED",13718,0,0,13718,"NO","NO","YES","2/25/2010 6:45","3/22/2010 4:52",5,0,966352,622934,7500,3000,0,0,1599786
"40",50,20100010,18409,2010,"2/25/2010 10:00 AM",2552,"COLONIAL PIPELINE CO","","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","","","NC",35.48354,-80.7357,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.55,0,0.55,0,"NO","NO","","","",0,0,15200,50,0,0,0,700,15950
"41",51,20100014,17569,2010,"3/1/2010 8:10 AM",12470,"MID - VALLEY PIPELINE CO","LONGVIEW STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONGVIEW","GREGG","TX",32.48325,-94.83034,"CORROSION","INTERNAL",198,0,196,2,"NO","NO","YES","3/1/2010 8:12","3/1/2010 14:00",0,0,1134,150,0,11470,3264,0,16018
