"","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Operator.Contractor.Injuries","Emergency.Responder.Injuries","Other.Injuries","Public.Injuries","All.Injuries","Operator.Employee.Fatalities","Operator.Contractor.Fatalities","Emergency.Responder.Fatalities","Other.Fatalities","Public.Fatalities","All.Fatalities","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"2",20100254,17331,2010,"1/4/2010 8:30 AM",15786,"PORTLAND PIPELINE CORP","24-INCH MAIN LINE","ONSHORE","ABOVEGROUND","CRUDE OIL","","","RAYMOND","CUMBERLAND","ME",43.94028,-70.49336,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.12,0,0.12,0,"NO","NO","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,8,0,0,0,0,4008
"5",20100030,16276,2010,"1/7/2010 1:00 PM",300,"PLAINS PIPELINE, L.P.","RED RIVER EAST","ONSHORE","UNDERGROUND","CRUDE OIL","","","SHERMAN","GRAYSON","TX",33.58266,-96.64881,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",700,NA,698,2,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,150,0,7500,2000,0,29650
"11",20100150,15205,2010,"1/11/2010 2:30 PM",32296,"TARGA RESOURCES OPERATING LP","N-4 LINE (NORMAL BUTANE)","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","NORMAL BUTANE","LAKE CHARLES","CALCASIEU","LA",30.25989,-93.20991,"NATURAL FORCE DAMAGE","TEMPERATURE",2237,25,0,2237,"NO","NO","YES","1/11/2010 14:45","1/15/2010 15:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29360,136233,NA,NA,NA,NA,165593
"12",20100262,15399,2010,"1/11/2010 2:47 PM",31454,"NUSTAR LOGISTICS, L.P.","46P HOUSTON 12"" REFINDED PRODUCTS PL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","TAFT","SAN PATRICO","TX",28.05529,-97.32797,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3,0,3,0,"NO","NO","YES","1/11/2010 14:55","1/11/2010 22:08",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,415,10000,7971,308883,0,357269
"17",20100037,18592,2010,"1/12/2010 7:08 PM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","MAGELLAN AMMONIA PIPELINE, LP","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","PAWNEE","PAWNEE","OK",36.39836,-96.74622,"MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",445,5,0,445,"NO","NO","YES","1/12/2010 19:08","1/20/2010 14:34",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175000,34000,68000,324000,1901615,15000,2517615
"24",20100071,17807,2010,"1/18/2010 10:00 AM",19237,"TE PRODUCTS PIPELINE COMPANY, LLC","PRINCETON TERMINAL","ONSHORE","TANK","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","PRINCETON","GIBSON","IN",38.32113,-87.34782,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",2,0,0,2,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,100,0,0,0,0,1100
"27",20100091,17835,2010,"1/21/2010 9:30 AM",31325,"PACIFIC PIPELINE SYSTEM LLC","NORTH COLES LEVEE","ONSHORE","TANK","CRUDE OIL","","","TAFT","KERN","CA",35.27901,-119.31192,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",2,0,2,0,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,150,0,2000,4457,0,7807
"30",20120021,17357,2010,"1/22/2010 12:05 PM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","EL DORADO STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","EL DORADO","BUTLER COUNTY","KS",37.803255,-96.873398,"INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",1.2,0,1.2,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3623,3263,1981,8867
"31",20100072,17806,2010,"1/24/2010 12:30 PM",19237,"TE PRODUCTS PIPELINE COMPANY, LLC","PRINCETON TERMINAL","ONSHORE","TANK","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","PRINCETON","GIBSON","IN",38.32113,-87.34782,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",1,0,0,1,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,100,0,0,0,0,2100
"34",20100084,17313,2010,"1/28/2010 11:00 AM",1248,"BELLE FOURCHE PIPELINE CO","DICKINSON GATHERING","ONSHORE","ABOVEGROUND","CRUDE OIL","","","DICKINSON","STARK","ND",46.851256,-102.770368,"OTHER OUTSIDE FORCE DAMAGE","VEHICLE NOT ENGAGED IN EXCAVATION",20,NA,13,7,"NO","NO","YES","1/28/2010 11:05","1/28/2010 18:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,420,0,750,9500,0,11170
"41",20100001,15751,2010,"2/16/2010 7:42 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","WAYNE JUNCTION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","WAYNE","DUPAGE","IL",41.94352,-88.23353,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.12,0,0.12,0,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25900,15,0,1500,1900,1200,30515
